AARS1	hsa:16	alanyl-tRNA synthetase 1
AGBL4	hsa:84871	AGBL carboxypeptidase 4
AGO1	hsa:26523	argonaute RISC component 1
AGO2	hsa:27161	argonaute RISC catalytic component 2
AGO3	hsa:192669	argonaute RISC catalytic component 3
AGO4	hsa:192670	argonaute RISC component 4
AGPAT2	hsa:10555	1-acylglycerol-3-phosphate O-acyltransferase 2
AGPAT5	hsa:55326	1-acylglycerol-3-phosphate O-acyltransferase 5
AGPS	hsa:8540	alkylglycerone phosphate synthase
AGTPBP1	hsa:23287	ATP/GTP binding carboxypeptidase 1
AGTR2	hsa:186	angiotensin II receptor type 2
AHCTF1	hsa:25909	AT-hook containing transcription factor 1
AHCY	hsa:191	adenosylhomocysteinase
AHCYL1	hsa:10768	adenosylhomocysteinase like 1
AHDC1	hsa:27245	AT-hook DNA binding motif containing 1
AHI1	hsa:54806	Abelson helper integration site 1
AHNAK	hsa:79026	AHNAK nucleoprotein
AIFM1	hsa:9131	apoptosis inducing factor mitochondria associated 1
AIMP1	hsa:9255	aminoacyl tRNA synthetase complex interacting multifunctional protein 1
AIMP2	hsa:7965	aminoacyl tRNA synthetase complex interacting multifunctional protein 2
AK1	hsa:203	adenylate kinase 1
AKAP9	hsa:10142	A-kinase anchoring protein 9
AKT3	hsa:10000	AKT serine/threonine kinase 3
ALDH18A1	hsa:5832	aldehyde dehydrogenase 18 family member A1
ALDH1A3	hsa:220	aldehyde dehydrogenase 1 family member A3
ALDH3A2	hsa:224	aldehyde dehydrogenase 3 family member A2
ALDH4A1	hsa:8659	aldehyde dehydrogenase 4 family member A1
ALDH5A1	hsa:7915	aldehyde dehydrogenase 5 family member A1
ALDH7A1	hsa:501	aldehyde dehydrogenase 7 family member A1
ALG1	hsa:56052	ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase
ALG11	hsa:440138	ALG11 alpha-1,2-mannosyltransferase
ALG12	hsa:79087	ALG12 alpha-1,6-mannosyltransferase
ALG13	hsa:79868	ALG13 UDP-N-acetylglucosaminyltransferase subunit
ALG2	hsa:85365	ALG2 alpha-1,3/1,6-mannosyltransferase
ALG3	hsa:10195	ALG3 alpha-1,3- mannosyltransferase
ALG6	hsa:29929	ALG6 alpha-1,3-glucosyltransferase
ALG8	hsa:79053	ALG8 alpha-1,3-glucosyltransferase
ALG9	hsa:79796	ALG9 alpha-1,2-mannosyltransferase
ALKBH8	hsa:91801	alkB homolog 8, tRNA methyltransferase
ALMS1	hsa:7840	ALMS1 centrosome and basal body associated protein
ALS2	hsa:57679	alsin Rho guanine nucleotide exchange factor ALS2
AMPD1	hsa:270	adenosine monophosphate deaminase 1
AMPD2	hsa:271	adenosine monophosphate deaminase 2
AMT	hsa:275	aminomethyltransferase
ANAPC1	hsa:64682	anaphase promoting complex subunit 1
ANK2	hsa:287	ankyrin 2
ANK3	hsa:288	ankyrin 3
ANKH	hsa:56172	ANKH inorganic pyrophosphate transport regulator
ANKRD11	hsa:29123	ankyrin repeat domain containing 11
ANKRD13C	hsa:81573	ankyrin repeat domain 13C
ANKRD17	hsa:26057	ankyrin repeat domain 17
ANKRD28	hsa:23243	ankyrin repeat domain 28
ANKS1B	hsa:56899	ankyrin repeat and sterile alpha motif domain containing 1B
ANO10	hsa:55129	anoctamin 10
ANO3	hsa:63982	anoctamin 3
ANP32A	hsa:8125	acidic nuclear phosphoprotein 32 family member A
ANXA1	hsa:301	annexin A1
AP1B1	hsa:162	adaptor related protein complex 1 subunit beta 1
AP1S1	hsa:1174	adaptor related protein complex 1 subunit sigma 1
AP1S2	hsa:8905	adaptor related protein complex 1 subunit sigma 2
AP2A2	hsa:161	adaptor related protein complex 2 subunit alpha 2
AP2M1	hsa:1173	adaptor related protein complex 2 subunit mu 1
AP2S1	hsa:1175	adaptor related protein complex 2 subunit sigma 1
AP3B1	hsa:8546	adaptor related protein complex 3 subunit beta 1
AP3B2	hsa:8120	adaptor related protein complex 3 subunit beta 2
AP4B1	hsa:10717	adaptor related protein complex 4 subunit beta 1
AP4E1	hsa:23431	adaptor related protein complex 4 subunit epsilon 1
AP4M1	hsa:9179	adaptor related protein complex 4 subunit mu 1
AP4S1	hsa:11154	adaptor related protein complex 4 subunit sigma 1
APBA2	hsa:321	amyloid beta precursor protein binding family A member 2
APBB1	hsa:322	amyloid beta precursor protein binding family B member 1
APC2	hsa:10297	APC regulator of WNT signaling pathway 2
APH1A	hsa:51107	aph-1 homolog A, gamma-secretase subunit
APTX	hsa:54840	aprataxin
AQP10	hsa:89872	aquaporin 10
AR	hsa:367	androgen receptor
ARCN1	hsa:372	archain 1
ARF1	hsa:375	ADP ribosylation factor 1
ARFGEF1	hsa:10565	ADP ribosylation factor guanine nucleotide exchange factor 1
ARFGEF2	hsa:10564	ADP ribosylation factor guanine nucleotide exchange factor 2
ARG1	hsa:383	arginase 1
ARHGAP11B	hsa:89839	Rho GTPase activating protein 11B
ARHGAP31	hsa:57514	Rho GTPase activating protein 31
ARHGAP32	hsa:9743	Rho GTPase activating protein 32
ARHGAP5	hsa:394	Rho GTPase activating protein 5
ARHGEF10	hsa:9639	Rho guanine nucleotide exchange factor 10
ARHGEF9	hsa:23229	Cdc42 guanine nucleotide exchange factor 9
ARID1A	hsa:8289	AT-rich interaction domain 1A
ARID1B	hsa:57492	AT-rich interaction domain 1B
ARID2	hsa:196528	AT-rich interaction domain 2
ARID4A	hsa:5926	AT-rich interaction domain 4A
ARL13B	hsa:200894	ADP ribosylation factor like GTPase 13B
ARL3	hsa:403	ADP ribosylation factor like GTPase 3
ARL6	hsa:84100	ADP ribosylation factor like GTPase 6
ARMC9	hsa:80210	armadillo repeat containing 9
ARNT2	hsa:9915	aryl hydrocarbon receptor nuclear translocator 2
ARSA	hsa:410	arylsulfatase A
ARSB	hsa:411	arylsulfatase B
ARSL	hsa:415	arylsulfatase L
ARV1	hsa:64801	ARV1 homolog, fatty acid homeostasis modulator
ARX	hsa:170302	aristaless related homeobox
ASAH1	hsa:427	N-acylsphingosine amidohydrolase 1
ASAP1	hsa:50807	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1
ASAP2	hsa:8853	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2
ASB14	hsa:142686	ankyrin repeat and SOCS box containing 14
ASH1L	hsa:55870	ASH1 like histone lysine methyltransferase
ASL	hsa:435	argininosuccinate lyase
ASMT	hsa:438	acetylserotonin O-methyltransferase
ASNS	hsa:440	asparagine synthetase (glutamine-hydrolyzing)
ASPA	hsa:443	aspartoacylase
ASPM	hsa:259266	assembly factor for spindle microtubules
ASTN2	hsa:23245	astrotactin 2
ASXL1	hsa:171023	ASXL transcriptional regulator 1
ASXL2	hsa:55252	ASXL transcriptional regulator 2
ASXL3	hsa:80816	ASXL transcriptional regulator 3
ATAD3A	hsa:55210	ATPase family AAA domain containing 3A
ATIC	hsa:471	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
ATM	hsa:472	ATM serine/threonine kinase
ATP1A1	hsa:476	ATPase Na+/K+ transporting subunit alpha 1
ATP1A2	hsa:477	ATPase Na+/K+ transporting subunit alpha 2
ATP1A3	hsa:478	ATPase Na+/K+ transporting subunit alpha 3
ATP2A2	hsa:488	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
ATP2B2	hsa:491	ATPase plasma membrane Ca2+ transporting 2
ATP5F1A	hsa:498	ATP synthase F1 subunit alpha
ATP6	hsa:4508	ATP synthase F0 subunit 6
ATP6AP2	hsa:10159	ATPase H+ transporting accessory protein 2
ATP6V0A1	hsa:535	ATPase H+ transporting V0 subunit a1
ATP6V0A2	hsa:23545	ATPase H+ transporting V0 subunit a2
ATP6V1A	hsa:523	ATPase H+ transporting V1 subunit A
ATP6V1B2	hsa:526	ATPase H+ transporting V1 subunit B2
ATP7A	hsa:538	ATPase copper transporting alpha
ATP8A2	hsa:51761	ATPase phospholipid transporting 8A2
ATR	hsa:545	ATR serine/threonine kinase
ATRX	hsa:546	ATRX chromatin remodeler
AUH	hsa:549	AU RNA binding methylglutaconyl-CoA hydratase
AUTS2	hsa:26053	activator of transcription and developmental regulator AUTS2
AVPR1A	hsa:552	arginine vasopressin receptor 1A
AVPR1B	hsa:553	arginine vasopressin receptor 1B
B3GALNT2	hsa:148789	beta-1,3-N-acetylgalactosaminyltransferase 2
B3GALT6	hsa:126792	beta-1,3-galactosyltransferase 6
B3GLCT	hsa:145173	beta 3-glucosyltransferase
B4GALNT1	hsa:2583	beta-1,4-N-acetyl-galactosaminyltransferase 1
B4GALT1	hsa:2683	beta-1,4-galactosyltransferase 1
B4GALT7	hsa:11285	beta-1,4-galactosyltransferase 7
B9D1	hsa:27077	B9 domain containing 1
BBS1	hsa:582	Bardet-Biedl syndrome 1
BBS10	hsa:79738	Bardet-Biedl syndrome 10
BBS12	hsa:166379	Bardet-Biedl syndrome 12
BBS2	hsa:583	Bardet-Biedl syndrome 2
BBS4	hsa:585	Bardet-Biedl syndrome 4
BBS5	hsa:129880	Bardet-Biedl syndrome 5
BBS7	hsa:55212	Bardet-Biedl syndrome 7
BBS9	hsa:27241	Bardet-Biedl syndrome 9
BCAP31	hsa:10134	B cell receptor associated protein 31
BCKDHA	hsa:593	branched chain keto acid dehydrogenase E1 subunit alpha
BCKDHB	hsa:594	branched chain keto acid dehydrogenase E1 subunit beta
BCKDK	hsa:10295	branched chain keto acid dehydrogenase kinase
BCL11A	hsa:53335	BAF chromatin remodeling complex subunit BCL11A
BCL11B	hsa:64919	BAF chromatin remodeling complex subunit BCL11B
BCOR	hsa:54880	BCL6 corepressor
BCS1L	hsa:617	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone
BICDL1	hsa:92558	BICD family like cargo adaptor 1
BICRA	hsa:29998	BRD4 interacting chromatin remodeling complex associated protein
BIRC6	hsa:57448	baculoviral IAP repeat containing 6
BLM	hsa:641	BLM RecQ like helicase
BMPR1B	hsa:658	bone morphogenetic protein receptor type 1B
BOLA3	hsa:388962	bolA family member 3
BPTF	hsa:2186	bromodomain PHD finger transcription factor
BRAF	hsa:673	B-Raf proto-oncogene, serine/threonine kinase
BRAT1	hsa:221927	BRCA1 associated ATM activator 1
BRCA1	hsa:672	BRCA1 DNA repair associated
BRCA2	hsa:675	BRCA2 DNA repair associated
BRD1	hsa:23774	bromodomain containing 1
BRD4	hsa:23476	bromodomain containing 4
BRF1	hsa:2972	BRF1 RNA polymerase III transcription initiation factor subunit
BRPF1	hsa:7862	bromodomain and PHD finger containing 1
BRPF3	hsa:27154	bromodomain and PHD finger containing 3
BRSK2	hsa:9024	BR serine/threonine kinase 2
BRWD3	hsa:254065	bromodomain and WD repeat domain containing 3
BST1	hsa:683	bone marrow stromal cell antigen 1
BTAF1	hsa:9044	B-TFIID TATA-box binding protein associated factor 1
BTBD11	hsa:121551	BTB domain containing 11
BTD	hsa:686	biotinidase
BTRC	hsa:8945	beta-transducin repeat containing E3 ubiquitin protein ligase
BUB1B	hsa:701	BUB1 mitotic checkpoint serine/threonine kinase B
C1QC	hsa:714	complement C1q C chain
C1QTNF5	hsa:114902	C1q and TNF related 5
C4B	hsa:721	complement C4B (Chido blood group)
CA2	hsa:760	carbonic anhydrase 2
CA5A	hsa:763	carbonic anhydrase 5A
CA6	hsa:765	carbonic anhydrase 6
CA8	hsa:767	carbonic anhydrase 8
CABP7	hsa:164633	calcium binding protein 7
CACNA1A	hsa:773	calcium voltage-gated channel subunit alpha1 A
CACNA1B	hsa:774	calcium voltage-gated channel subunit alpha1 B
CACNA1C	hsa:775	calcium voltage-gated channel subunit alpha1 C
CACNA1D	hsa:776	calcium voltage-gated channel subunit alpha1 D
CACNA1E	hsa:777	calcium voltage-gated channel subunit alpha1 E
CACNA1F	hsa:778	calcium voltage-gated channel subunit alpha1 F
CACNA1G	hsa:8913	calcium voltage-gated channel subunit alpha1 G
CACNA1H	hsa:8912	calcium voltage-gated channel subunit alpha1 H
CACNA1I	hsa:8911	calcium voltage-gated channel subunit alpha1 I
CACNA2D1	hsa:781	calcium voltage-gated channel auxiliary subunit alpha2delta 1
CACNA2D2	hsa:9254	calcium voltage-gated channel auxiliary subunit alpha2delta 2
CACNA2D3	hsa:55799	calcium voltage-gated channel auxiliary subunit alpha2delta 3
CACNB1	hsa:782	calcium voltage-gated channel auxiliary subunit beta 1
CACNB2	hsa:783	calcium voltage-gated channel auxiliary subunit beta 2
CACNG2	hsa:10369	calcium voltage-gated channel auxiliary subunit gamma 2
CAD	hsa:790	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
CADM1	hsa:23705	cell adhesion molecule 1
CADM2	hsa:253559	cell adhesion molecule 2
CADPS	hsa:8618	calcium dependent secretion activator
CADPS2	hsa:93664	calcium dependent secretion activator 2
CAMK2A	hsa:815	calcium/calmodulin dependent protein kinase II alpha
CAMK2B	hsa:816	calcium/calmodulin dependent protein kinase II beta
CAMK2G	hsa:818	calcium/calmodulin dependent protein kinase II gamma
CAMK4	hsa:814	calcium/calmodulin dependent protein kinase IV
CAMTA1	hsa:23261	calmodulin binding transcription activator 1
CAPN10	hsa:11132	calpain 10
CAPN12	hsa:147968	calpain 12
CAPN15	hsa:6650	calpain 15
CAPRIN1	hsa:4076	cell cycle associated protein 1
CARD11	hsa:84433	caspase recruitment domain family member 11
CARD14	hsa:79092	caspase recruitment domain family member 14
CARS1	hsa:833	cysteinyl-tRNA synthetase 1
CARS2	hsa:79587	cysteinyl-tRNA synthetase 2, mitochondrial
CASK	hsa:8573	calcium/calmodulin dependent serine protein kinase
CASKIN1	hsa:57524	CASK interacting protein 1
CASZ1	hsa:54897	castor zinc finger 1
CBL	hsa:867	Cbl proto-oncogene
CBS	hsa:875	cystathionine beta-synthase
CBX3	hsa:11335	chromobox 3
CBY1	hsa:25776	chibby family member 1, beta catenin antagonist
CC2D1A	hsa:54862	coiled-coil and C2 domain containing 1A
CC2D2A	hsa:57545	coiled-coil and C2 domain containing 2A
CCDC115	hsa:84317	coiled-coil domain containing 115
CCDC174	hsa:51244	coiled-coil domain containing 174
CCDC22	hsa:28952	coiled-coil domain containing 22
CCDC47	hsa:57003	coiled-coil domain containing 47
CCDC88A	hsa:55704	coiled-coil domain containing 88A
CCIN	hsa:881	calicin
CCNB1	hsa:891	cyclin B1
CCND2	hsa:894	cyclin D2
CCNG1	hsa:900	cyclin G1
CCNK	hsa:8812	cyclin K
CCT4	hsa:10575	chaperonin containing TCP1 subunit 4
CD163L1	hsa:283316	CD163 molecule like 1
CD276	hsa:80381	CD276 molecule
CD38	hsa:952	CD38 molecule
CD99L2	hsa:83692	CD99 molecule like 2
CDC42	hsa:998	cell division cycle 42
CDC42BPB	hsa:9578	CDC42 binding protein kinase beta
CDC45	hsa:8318	cell division cycle 45
CDC6	hsa:990	cell division cycle 6
CDC7	hsa:8317	cell division cycle 7
CDH10	hsa:1008	cadherin 10
CDH11	hsa:1009	cadherin 11
CDH13	hsa:1012	cadherin 13
CDH2	hsa:1000	cadherin 2
CDH22	hsa:64405	cadherin 22
CDH8	hsa:1006	cadherin 8
CDH9	hsa:1007	cadherin 9
CDK10	hsa:8558	cyclin dependent kinase 10
CDK13	hsa:8621	cyclin dependent kinase 13
CDK19	hsa:23097	cyclin dependent kinase 19
CDK5RAP2	hsa:55755	CDK5 regulatory subunit associated protein 2
CDK6	hsa:1021	cyclin dependent kinase 6
CDK8	hsa:1024	cyclin dependent kinase 8
CDK9	hsa:1025	cyclin dependent kinase 9
CDKL5	hsa:6792	cyclin dependent kinase like 5
CDON	hsa:50937	cell adhesion associated, oncogene regulated
CDT1	hsa:81620	chromatin licensing and DNA replication factor 1
CELF2	hsa:10659	CUGBP Elav-like family member 2
CELF4	hsa:56853	CUGBP Elav-like family member 4
CELF6	hsa:60677	CUGBP Elav-like family member 6
CENPE	hsa:1062	centromere protein E
CENPF	hsa:1063	centromere protein F
CENPJ	hsa:55835	centromere protein J
CEP104	hsa:9731	centrosomal protein 104
CEP120	hsa:153241	centrosomal protein 120
CEP135	hsa:9662	centrosomal protein 135
CEP152	hsa:22995	centrosomal protein 152
CEP19	hsa:84984	centrosomal protein 19
CEP290	hsa:80184	centrosomal protein 290
CEP41	hsa:95681	centrosomal protein 41
CEP55	hsa:55165	centrosomal protein 55
CEP57	hsa:9702	centrosomal protein 57
CEP63	hsa:80254	centrosomal protein 63
CEP83	hsa:51134	centrosomal protein 83
CEP85L	hsa:387119	centrosomal protein 85 like
CEPT1	hsa:10390	choline/ethanolamine phosphotransferase 1
CERT1	hsa:10087	ceramide transporter 1
CGNL1	hsa:84952	cingulin like 1
CHAMP1	hsa:283489	chromosome alignment maintaining phosphoprotein 1
CHAT	hsa:1103	choline O-acetyltransferase
CHD1	hsa:1105	chromodomain helicase DNA binding protein 1
CHD2	hsa:1106	chromodomain helicase DNA binding protein 2
CHD3	hsa:1107	chromodomain helicase DNA binding protein 3
CHD4	hsa:1108	chromodomain helicase DNA binding protein 4
CHD7	hsa:55636	chromodomain helicase DNA binding protein 7
CHD8	hsa:57680	chromodomain helicase DNA binding protein 8
CHKB	hsa:1120	choline kinase beta
CHM	hsa:1121	CHM Rab escort protein
CHMP1A	hsa:5119	charged multivesicular body protein 1A
CHRM1	hsa:1128	cholinergic receptor muscarinic 1
CHRM3	hsa:1131	cholinergic receptor muscarinic 3
CHRNA2	hsa:1135	cholinergic receptor nicotinic alpha 2 subunit
CHRNA4	hsa:1137	cholinergic receptor nicotinic alpha 4 subunit
CHRNA7	hsa:1139	cholinergic receptor nicotinic alpha 7 subunit
CHRNB3	hsa:1142	cholinergic receptor nicotinic beta 3 subunit
CIB2	hsa:10518	calcium and integrin binding family member 2
CIC	hsa:23152	capicua transcriptional repressor
CIT	hsa:11113	citron rho-interacting serine/threonine kinase
CKAP2L	hsa:150468	cytoskeleton associated protein 2 like
CLASP1	hsa:23332	cytoplasmic linker associated protein 1
CLCN2	hsa:1181	chloride voltage-gated channel 2
CLCN4	hsa:1183	chloride voltage-gated channel 4
CLCN7	hsa:1186	chloride voltage-gated channel 7
CLIP2	hsa:7461	CAP-Gly domain containing linker protein 2
CLN3	hsa:1201	CLN3 lysosomal/endosomal transmembrane protein, battenin
CLN5	hsa:1203	CLN5 intracellular trafficking protein
CLN8	hsa:2055	CLN8 transmembrane ER and ERGIC protein
CLP1	hsa:10978	cleavage factor polyribonucleotide kinase subunit 1
CLPB	hsa:81570	caseinolytic mitochondrial matrix peptidase chaperone subunit B
CLPP	hsa:8192	caseinolytic mitochondrial matrix peptidase proteolytic subunit
CLSTN3	hsa:9746	calsyntenin 3
CLTC	hsa:1213	clathrin heavy chain
CLTCL1	hsa:8218	clathrin heavy chain like 1
CMPK2	hsa:129607	cytidine/uridine monophosphate kinase 2
CMTR1	hsa:23070	cap methyltransferase 1
CNGB3	hsa:54714	cyclic nucleotide gated channel subunit beta 3
CNKSR1	hsa:10256	connector enhancer of kinase suppressor of Ras 1
CNKSR2	hsa:22866	connector enhancer of kinase suppressor of Ras 2
CNNM2	hsa:54805	cyclin and CBS domain divalent metal cation transport mediator 2
CNOT1	hsa:23019	CCR4-NOT transcription complex subunit 1
CNOT3	hsa:4849	CCR4-NOT transcription complex subunit 3
CNPY3	hsa:10695	canopy FGF signaling regulator 3
CNR1	hsa:1268	cannabinoid receptor 1
CNTN3	hsa:5067	contactin 3
CNTN4	hsa:152330	contactin 4
CNTN5	hsa:53942	contactin 5
CNTN6	hsa:27255	contactin 6
CNTNAP1	hsa:8506	contactin associated protein 1
CNTNAP2	hsa:26047	contactin associated protein 2
CNTNAP3	hsa:79937	contactin associated protein family member 3
CNTNAP4	hsa:85445	contactin associated protein family member 4
CNTNAP5	hsa:129684	contactin associated protein family member 5
COA8	hsa:84334	cytochrome c oxidase assembly factor 8
COASY	hsa:80347	Coenzyme A synthase
COG1	hsa:9382	component of oligomeric golgi complex 1
COG4	hsa:25839	component of oligomeric golgi complex 4
COG5	hsa:10466	component of oligomeric golgi complex 5
COG6	hsa:57511	component of oligomeric golgi complex 6
COG7	hsa:91949	component of oligomeric golgi complex 7
COG8	hsa:84342	component of oligomeric golgi complex 8
COL11A1	hsa:1301	collagen type XI alpha 1 chain
COL18A1	hsa:80781	collagen type XVIII alpha 1 chain
COL1A1	hsa:1277	collagen type I alpha 1 chain
COL1A2	hsa:1278	collagen type I alpha 2 chain
COL27A1	hsa:85301	collagen type XXVII alpha 1 chain
COL28A1	hsa:340267	collagen type XXVIII alpha 1 chain
COL3A1	hsa:1281	collagen type III alpha 1 chain
COL4A1	hsa:1282	collagen type IV alpha 1 chain
COL4A2	hsa:1284	collagen type IV alpha 2 chain
COLEC11	hsa:78989	collectin subfamily member 11
COPA	hsa:1314	COPI coat complex subunit alpha
COPB2	hsa:9276	COPI coat complex subunit beta 2
COQ2	hsa:27235	coenzyme Q2, polyprenyltransferase
COQ8A	hsa:56997	coenzyme Q8A
CORO1A	hsa:11151	coronin 1A
COX1	hsa:4512	cytochrome c oxidase subunit I
COX10	hsa:1352	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10
COX15	hsa:1355	cytochrome c oxidase assembly homolog COX15
COX2	hsa:4513	cytochrome c oxidase subunit II
COX3	hsa:4514	cytochrome c oxidase subunit III
COX6B1	hsa:1340	cytochrome c oxidase subunit 6B1
CPA6	hsa:57094	carboxypeptidase A6
CPE	hsa:1363	carboxypeptidase E
CPEB4	hsa:80315	cytoplasmic polyadenylation element binding protein 4
CPLANE1	hsa:65250	ciliogenesis and planar polarity effector complex subunit 1
CPLX1	hsa:10815	complexin 1
CPS1	hsa:1373	carbamoyl-phosphate synthase 1
CPT2	hsa:1376	carnitine palmitoyltransferase 2
CPZ	hsa:8532	carboxypeptidase Z
CRB2	hsa:286204	crumbs cell polarity complex component 2
CRBN	hsa:51185	cereblon
CREBBP	hsa:1387	CREB binding protein
CRIPT	hsa:9419	CXXC repeat containing interactor of PDZ3 domain
CRLF1	hsa:9244	cytokine receptor like factor 1
CRPPA	hsa:729920	CDP-L-ribitol pyrophosphorylase A
CRTC2	hsa:200186	CREB regulated transcription coactivator 2
CSF1R	hsa:1436	colony stimulating factor 1 receptor
CSGALNACT1	hsa:55790	chondroitin sulfate N-acetylgalactosaminyltransferase 1
CSMD1	hsa:64478	CUB and Sushi multiple domains 1
CSNK1E	hsa:1454	casein kinase 1 epsilon
CSNK1G1	hsa:53944	casein kinase 1 gamma 1
CSNK2A1	hsa:1457	casein kinase 2 alpha 1
CSNK2B	hsa:1460	casein kinase 2 beta
CSPP1	hsa:79848	centrosome and spindle pole associated protein 1
CSTB	hsa:1476	cystatin B
CSTF2T	hsa:23283	cleavage stimulation factor subunit 2 tau variant
CTBP1	hsa:1487	C-terminal binding protein 1
CTC1	hsa:80169	CST telomere replication complex component 1
CTCF	hsa:10664	CCCTC-binding factor
CTDP1	hsa:9150	CTD phosphatase subunit 1
CTNNA2	hsa:1496	catenin alpha 2
CTNNA3	hsa:29119	catenin alpha 3
CTNNB1	hsa:1499	catenin beta 1
CTNND1	hsa:1500	catenin delta 1
CTNND2	hsa:1501	catenin delta 2
CTSD	hsa:1509	cathepsin D
CTU2	hsa:348180	cytosolic thiouridylase subunit 2
CUL2	hsa:8453	cullin 2
CUL3	hsa:8452	cullin 3
CUL4B	hsa:8450	cullin 4B
CUL7	hsa:9820	cullin 7
CUX1	hsa:1523	cut like homeobox 1
CUX2	hsa:23316	cut like homeobox 2
CWC27	hsa:10283	CWC27 spliceosome associated cyclophilin
CWF19L1	hsa:55280	CWF19 like cell cycle control factor 1
CX3CR1	hsa:1524	C-X3-C motif chemokine receptor 1
CYB5R3	hsa:1727	cytochrome b5 reductase 3
CYC1	hsa:1537	cytochrome c1
CYFIP1	hsa:23191	cytoplasmic FMR1 interacting protein 1
CYFIP2	hsa:26999	cytoplasmic FMR1 interacting protein 2
CYP11B1	hsa:1584	cytochrome P450 family 11 subfamily B member 1
CYP27A1	hsa:1593	cytochrome P450 family 27 subfamily A member 1
CYP2U1	hsa:113612	cytochrome P450 family 2 subfamily U member 1
DAAM1	hsa:23002	dishevelled associated activator of morphogenesis 1
DAB2IP	hsa:153090	DAB2 interacting protein
DAG1	hsa:1605	dystroglycan 1
DAGLA	hsa:747	diacylglycerol lipase alpha
DAPP1	hsa:27071	dual adaptor of phosphotyrosine and 3-phosphoinositides 1
DARS1	hsa:1615	aspartyl-tRNA synthetase 1
DARS2	hsa:55157	aspartyl-tRNA synthetase 2, mitochondrial
DBT	hsa:1629	dihydrolipoamide branched chain transacylase E2
DCAF11	hsa:80344	DDB1 and CUL4 associated factor 11
DCAF17	hsa:80067	DDB1 and CUL4 associated factor 17
DCC	hsa:1630	DCC netrin 1 receptor
DCHS1	hsa:8642	dachsous cadherin-related 1
DCPS	hsa:28960	decapping enzyme, scavenger
