AARS1	hsa:16	alanyl-tRNA synthetase 1
AIFM1	hsa:9131	apoptosis inducing factor mitochondria associated 1
AK1	hsa:203	adenylate kinase 1
AKT3	hsa:10000	AKT serine/threonine kinase 3
ALDH18A1	hsa:5832	aldehyde dehydrogenase 18 family member A1
ALDH1A3	hsa:220	aldehyde dehydrogenase 1 family member A3
ALDH3A2	hsa:224	aldehyde dehydrogenase 3 family member A2
ALDH4A1	hsa:8659	aldehyde dehydrogenase 4 family member A1
ALDH5A1	hsa:7915	aldehyde dehydrogenase 5 family member A1
ALDH7A1	hsa:501	aldehyde dehydrogenase 7 family member A1
ALG1	hsa:56052	ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase
ALG11	hsa:440138	ALG11 alpha-1,2-mannosyltransferase
ALG12	hsa:79087	ALG12 alpha-1,6-mannosyltransferase
ALG13	hsa:79868	ALG13 UDP-N-acetylglucosaminyltransferase subunit
ALG2	hsa:85365	ALG2 alpha-1,3/1,6-mannosyltransferase
ALG3	hsa:10195	ALG3 alpha-1,3- mannosyltransferase
ALG6	hsa:29929	ALG6 alpha-1,3-glucosyltransferase
ALG8	hsa:79053	ALG8 alpha-1,3-glucosyltransferase
ALG9	hsa:79796	ALG9 alpha-1,2-mannosyltransferase
ALS2	hsa:57679	alsin Rho guanine nucleotide exchange factor ALS2
AMPD1	hsa:270	adenosine monophosphate deaminase 1
AMPD2	hsa:271	adenosine monophosphate deaminase 2
AMT	hsa:275	aminomethyltransferase
ANAPC1	hsa:64682	anaphase promoting complex subunit 1
ANK2	hsa:287	ankyrin 2
ANK3	hsa:288	ankyrin 3
AP1B1	hsa:162	adaptor related protein complex 1 subunit beta 1
AP1S1	hsa:1174	adaptor related protein complex 1 subunit sigma 1
AP1S2	hsa:8905	adaptor related protein complex 1 subunit sigma 2
AP2A2	hsa:161	adaptor related protein complex 2 subunit alpha 2
AP2M1	hsa:1173	adaptor related protein complex 2 subunit mu 1
AP2S1	hsa:1175	adaptor related protein complex 2 subunit sigma 1
AP3B1	hsa:8546	adaptor related protein complex 3 subunit beta 1
AP3B2	hsa:8120	adaptor related protein complex 3 subunit beta 2
AP4B1	hsa:10717	adaptor related protein complex 4 subunit beta 1
AP4E1	hsa:23431	adaptor related protein complex 4 subunit epsilon 1
AP4M1	hsa:9179	adaptor related protein complex 4 subunit mu 1
AP4S1	hsa:11154	adaptor related protein complex 4 subunit sigma 1
APBB1	hsa:322	amyloid beta precursor protein binding family B member 1
APC2	hsa:10297	APC regulator of WNT signaling pathway 2
APH1A	hsa:51107	aph-1 homolog A, gamma-secretase subunit
AR	hsa:367	androgen receptor
ARF1	hsa:375	ADP ribosylation factor 1
ARFGEF1	hsa:10565	ADP ribosylation factor guanine nucleotide exchange factor 1
ARFGEF2	hsa:10564	ADP ribosylation factor guanine nucleotide exchange factor 2
ARG1	hsa:383	arginase 1
ARHGAP5	hsa:394	Rho GTPase activating protein 5
ARID1A	hsa:8289	AT-rich interaction domain 1A
ARID1B	hsa:57492	AT-rich interaction domain 1B
ARID2	hsa:196528	AT-rich interaction domain 2
ARNT2	hsa:9915	aryl hydrocarbon receptor nuclear translocator 2
ARSA	hsa:410	arylsulfatase A
ARSB	hsa:411	arylsulfatase B
ASAH1	hsa:427	N-acylsphingosine amidohydrolase 1
ASAP1	hsa:50807	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1
ASAP2	hsa:8853	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2
ASH1L	hsa:55870	ASH1 like histone lysine methyltransferase
ASL	hsa:435	argininosuccinate lyase
ASMT	hsa:438	acetylserotonin O-methyltransferase
ASNS	hsa:440	asparagine synthetase (glutamine-hydrolyzing)
ASPA	hsa:443	aspartoacylase
ATIC	hsa:471	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
ATM	hsa:472	ATM serine/threonine kinase
ATP1A1	hsa:476	ATPase Na+/K+ transporting subunit alpha 1
ATP1A2	hsa:477	ATPase Na+/K+ transporting subunit alpha 2
ATP1A3	hsa:478	ATPase Na+/K+ transporting subunit alpha 3
ATP2A2	hsa:488	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
ATP2B2	hsa:491	ATPase plasma membrane Ca2+ transporting 2
ATP5F1A	hsa:498	ATP synthase F1 subunit alpha
ATP6	hsa:4508	ATP synthase F0 subunit 6
ATP6AP2	hsa:10159	ATPase H+ transporting accessory protein 2
ATP6V0A1	hsa:535	ATPase H+ transporting V0 subunit a1
ATP6V0A2	hsa:23545	ATPase H+ transporting V0 subunit a2
ATP6V1A	hsa:523	ATPase H+ transporting V1 subunit A
ATP6V1B2	hsa:526	ATPase H+ transporting V1 subunit B2
ATP7A	hsa:538	ATPase copper transporting alpha
ATR	hsa:545	ATR serine/threonine kinase
AUH	hsa:549	AU RNA binding methylglutaconyl-CoA hydratase
AVPR1A	hsa:552	arginine vasopressin receptor 1A
AVPR1B	hsa:553	arginine vasopressin receptor 1B
B3GALNT2	hsa:148789	beta-1,3-N-acetylgalactosaminyltransferase 2
B3GALT6	hsa:126792	beta-1,3-galactosyltransferase 6
B3GLCT	hsa:145173	beta 3-glucosyltransferase
B4GALNT1	hsa:2583	beta-1,4-N-acetyl-galactosaminyltransferase 1
B4GALT1	hsa:2683	beta-1,4-galactosyltransferase 1
B4GALT7	hsa:11285	beta-1,4-galactosyltransferase 7
BCAP31	hsa:10134	B cell receptor associated protein 31
BCKDHA	hsa:593	branched chain keto acid dehydrogenase E1 subunit alpha
BCKDHB	hsa:594	branched chain keto acid dehydrogenase E1 subunit beta
BCL11B	hsa:64919	BAF chromatin remodeling complex subunit BCL11B
BIRC6	hsa:57448	baculoviral IAP repeat containing 6
BLM	hsa:641	BLM RecQ like helicase
BMPR1B	hsa:658	bone morphogenetic protein receptor type 1B
BRAF	hsa:673	B-Raf proto-oncogene, serine/threonine kinase
BRCA1	hsa:672	BRCA1 DNA repair associated
BRCA2	hsa:675	BRCA2 DNA repair associated
BST1	hsa:683	bone marrow stromal cell antigen 1
BTD	hsa:686	biotinidase
BTRC	hsa:8945	beta-transducin repeat containing E3 ubiquitin protein ligase
BUB1B	hsa:701	BUB1 mitotic checkpoint serine/threonine kinase B
C1QC	hsa:714	complement C1q C chain
C4B	hsa:721	complement C4B (Chido blood group)
CA2	hsa:760	carbonic anhydrase 2
CA5A	hsa:763	carbonic anhydrase 5A
CA6	hsa:765	carbonic anhydrase 6
CA8	hsa:767	carbonic anhydrase 8
CACNA1A	hsa:773	calcium voltage-gated channel subunit alpha1 A
CACNA1B	hsa:774	calcium voltage-gated channel subunit alpha1 B
CACNA1C	hsa:775	calcium voltage-gated channel subunit alpha1 C
CACNA1D	hsa:776	calcium voltage-gated channel subunit alpha1 D
CACNA1E	hsa:777	calcium voltage-gated channel subunit alpha1 E
CACNA1F	hsa:778	calcium voltage-gated channel subunit alpha1 F
CACNA1G	hsa:8913	calcium voltage-gated channel subunit alpha1 G
CACNA1H	hsa:8912	calcium voltage-gated channel subunit alpha1 H
CACNA1I	hsa:8911	calcium voltage-gated channel subunit alpha1 I
CACNA2D1	hsa:781	calcium voltage-gated channel auxiliary subunit alpha2delta 1
CACNA2D2	hsa:9254	calcium voltage-gated channel auxiliary subunit alpha2delta 2
CACNA2D3	hsa:55799	calcium voltage-gated channel auxiliary subunit alpha2delta 3
CACNB1	hsa:782	calcium voltage-gated channel auxiliary subunit beta 1
CACNB2	hsa:783	calcium voltage-gated channel auxiliary subunit beta 2
CACNG2	hsa:10369	calcium voltage-gated channel auxiliary subunit gamma 2
CAD	hsa:790	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
CADM1	hsa:23705	cell adhesion molecule 1
CAMK2A	hsa:815	calcium/calmodulin dependent protein kinase II alpha
CAMK2B	hsa:816	calcium/calmodulin dependent protein kinase II beta
CAMK2G	hsa:818	calcium/calmodulin dependent protein kinase II gamma
CAMK4	hsa:814	calcium/calmodulin dependent protein kinase IV
CARD11	hsa:84433	caspase recruitment domain family member 11
CARD14	hsa:79092	caspase recruitment domain family member 14
CARS1	hsa:833	cysteinyl-tRNA synthetase 1
CARS2	hsa:79587	cysteinyl-tRNA synthetase 2, mitochondrial
CBL	hsa:867	Cbl proto-oncogene
CBS	hsa:875	cystathionine beta-synthase
CBX3	hsa:11335	chromobox 3
CBY1	hsa:25776	chibby family member 1, beta catenin antagonist
CCNB1	hsa:891	cyclin B1
CCND2	hsa:894	cyclin D2
CCNG1	hsa:900	cyclin G1
CD276	hsa:80381	CD276 molecule
CD38	hsa:952	CD38 molecule
CD99L2	hsa:83692	CD99 molecule like 2
CDC42	hsa:998	cell division cycle 42
CDC45	hsa:8318	cell division cycle 45
CDC6	hsa:990	cell division cycle 6
CDC7	hsa:8317	cell division cycle 7
CDH2	hsa:1000	cadherin 2
CDK6	hsa:1021	cyclin dependent kinase 6
CDK9	hsa:1025	cyclin dependent kinase 9
CDON	hsa:50937	cell adhesion associated, oncogene regulated
CEPT1	hsa:10390	choline/ethanolamine phosphotransferase 1
CGNL1	hsa:84952	cingulin like 1
CHAT	hsa:1103	choline O-acetyltransferase
CHD4	hsa:1108	chromodomain helicase DNA binding protein 4
CHD8	hsa:57680	chromodomain helicase DNA binding protein 8
CHKB	hsa:1120	choline kinase beta
CHMP1A	hsa:5119	charged multivesicular body protein 1A
CHRM1	hsa:1128	cholinergic receptor muscarinic 1
CHRM3	hsa:1131	cholinergic receptor muscarinic 3
CHRNA2	hsa:1135	cholinergic receptor nicotinic alpha 2 subunit
CHRNA4	hsa:1137	cholinergic receptor nicotinic alpha 4 subunit
CHRNA7	hsa:1139	cholinergic receptor nicotinic alpha 7 subunit
CHRNB3	hsa:1142	cholinergic receptor nicotinic beta 3 subunit
CIC	hsa:23152	capicua transcriptional repressor
CLCN2	hsa:1181	chloride voltage-gated channel 2
CLCN4	hsa:1183	chloride voltage-gated channel 4
CLN3	hsa:1201	CLN3 lysosomal/endosomal transmembrane protein, battenin
CLN5	hsa:1203	CLN5 intracellular trafficking protein
CLP1	hsa:10978	cleavage factor polyribonucleotide kinase subunit 1
CLPB	hsa:81570	caseinolytic mitochondrial matrix peptidase chaperone subunit B
CLTC	hsa:1213	clathrin heavy chain
CLTCL1	hsa:8218	clathrin heavy chain like 1
CMPK2	hsa:129607	cytidine/uridine monophosphate kinase 2
CNGB3	hsa:54714	cyclic nucleotide gated channel subunit beta 3
CNOT1	hsa:23019	CCR4-NOT transcription complex subunit 1
CNOT3	hsa:4849	CCR4-NOT transcription complex subunit 3
CNR1	hsa:1268	cannabinoid receptor 1
CNTNAP1	hsa:8506	contactin associated protein 1
CNTNAP2	hsa:26047	contactin associated protein 2
COASY	hsa:80347	Coenzyme A synthase
COL11A1	hsa:1301	collagen type XI alpha 1 chain
COL18A1	hsa:80781	collagen type XVIII alpha 1 chain
COL1A1	hsa:1277	collagen type I alpha 1 chain
COL1A2	hsa:1278	collagen type I alpha 2 chain
COL27A1	hsa:85301	collagen type XXVII alpha 1 chain
COL28A1	hsa:340267	collagen type XXVIII alpha 1 chain
COL3A1	hsa:1281	collagen type III alpha 1 chain
COL4A1	hsa:1282	collagen type IV alpha 1 chain
COL4A2	hsa:1284	collagen type IV alpha 2 chain
COLEC11	hsa:78989	collectin subfamily member 11
COQ2	hsa:27235	coenzyme Q2, polyprenyltransferase
CORO1A	hsa:11151	coronin 1A
COX1	hsa:4512	cytochrome c oxidase subunit I
COX10	hsa:1352	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10
COX15	hsa:1355	cytochrome c oxidase assembly homolog COX15
COX2	hsa:4513	cytochrome c oxidase subunit II
COX3	hsa:4514	cytochrome c oxidase subunit III
COX6B1	hsa:1340	cytochrome c oxidase subunit 6B1
CPE	hsa:1363	carboxypeptidase E
CPEB4	hsa:80315	cytoplasmic polyadenylation element binding protein 4
CPLX1	hsa:10815	complexin 1
CPS1	hsa:1373	carbamoyl-phosphate synthase 1
CPT2	hsa:1376	carnitine palmitoyltransferase 2
CRB2	hsa:286204	crumbs cell polarity complex component 2
CREBBP	hsa:1387	CREB binding protein
CRPPA	hsa:729920	CDP-L-ribitol pyrophosphorylase A
CRTC2	hsa:200186	CREB regulated transcription coactivator 2
CSF1R	hsa:1436	colony stimulating factor 1 receptor
CSGALNACT1	hsa:55790	chondroitin sulfate N-acetylgalactosaminyltransferase 1
CSNK1E	hsa:1454	casein kinase 1 epsilon
CSNK1G1	hsa:53944	casein kinase 1 gamma 1
CSNK2A1	hsa:1457	casein kinase 2 alpha 1
CSNK2B	hsa:1460	casein kinase 2 beta
CSTF2T	hsa:23283	cleavage stimulation factor subunit 2 tau variant
CTBP1	hsa:1487	C-terminal binding protein 1
CTNNA2	hsa:1496	catenin alpha 2
CTNNA3	hsa:29119	catenin alpha 3
CTNNB1	hsa:1499	catenin beta 1
CTNND1	hsa:1500	catenin delta 1
CTNND2	hsa:1501	catenin delta 2
CTSD	hsa:1509	cathepsin D
CTU2	hsa:348180	cytosolic thiouridylase subunit 2
CUL2	hsa:8453	cullin 2
CUL3	hsa:8452	cullin 3
CUL4B	hsa:8450	cullin 4B
CUL7	hsa:9820	cullin 7
CX3CR1	hsa:1524	C-X3-C motif chemokine receptor 1
CYB5R3	hsa:1727	cytochrome b5 reductase 3
CYC1	hsa:1537	cytochrome c1
CYFIP1	hsa:23191	cytoplasmic FMR1 interacting protein 1
CYFIP2	hsa:26999	cytoplasmic FMR1 interacting protein 2
CYP11B1	hsa:1584	cytochrome P450 family 11 subfamily B member 1
CYP27A1	hsa:1593	cytochrome P450 family 27 subfamily A member 1
CYP2U1	hsa:113612	cytochrome P450 family 2 subfamily U member 1
DAAM1	hsa:23002	dishevelled associated activator of morphogenesis 1
DAB2IP	hsa:153090	DAB2 interacting protein
DAG1	hsa:1605	dystroglycan 1
DAGLA	hsa:747	diacylglycerol lipase alpha
DAPP1	hsa:27071	dual adaptor of phosphotyrosine and 3-phosphoinositides 1
DARS1	hsa:1615	aspartyl-tRNA synthetase 1
DARS2	hsa:55157	aspartyl-tRNA synthetase 2, mitochondrial
DBT	hsa:1629	dihydrolipoamide branched chain transacylase E2
DCC	hsa:1630	DCC netrin 1 receptor
DCHS1	hsa:8642	dachsous cadherin-related 1
DCPS	hsa:28960	decapping enzyme, scavenger
DCTN2	hsa:10540	dynactin subunit 2
DDC	hsa:1644	dopa decarboxylase
DDOST	hsa:1650	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
DDX23	hsa:9416	DEAD-box helicase 23
DDX3X	hsa:1654	DEAD-box helicase 3 X-linked
DDX6	hsa:1656	DEAD-box helicase 6
DEGS1	hsa:8560	delta 4-desaturase, sphingolipid 1
DEPDC5	hsa:9681	DEP domain containing 5, GATOR1 subcomplex subunit
DHCR24	hsa:1718	24-dehydrocholesterol reductase
DHCR7	hsa:1717	7-dehydrocholesterol reductase
DHDDS	hsa:79947	dehydrodolichyl diphosphate synthase subunit
DHFR	hsa:1719	dihydrofolate reductase
DHTKD1	hsa:55526	dehydrogenase E1 and transketolase domain containing 1
DIAPH1	hsa:1729	diaphanous related formin 1
DKC1	hsa:1736	dyskerin pseudouridine synthase 1
DLAT	hsa:1737	dihydrolipoamide S-acetyltransferase
DLD	hsa:1738	dihydrolipoamide dehydrogenase
DLG1	hsa:1739	discs large MAGUK scaffold protein 1
DLG2	hsa:1740	discs large MAGUK scaffold protein 2
DLG3	hsa:1741	discs large MAGUK scaffold protein 3
DLG4	hsa:1742	discs large MAGUK scaffold protein 4
DLG5	hsa:9231	discs large MAGUK scaffold protein 5
DLGAP1	hsa:9229	DLG associated protein 1
DLL1	hsa:28514	delta like canonical Notch ligand 1
DMD	hsa:1756	dystrophin
DMXL2	hsa:23312	Dmx like 2
DNAH10	hsa:196385	dynein axonemal heavy chain 10
DNAH17	hsa:8632	dynein axonemal heavy chain 17
DNAH3	hsa:55567	dynein axonemal heavy chain 3
DNAJC6	hsa:9829	DnaJ heat shock protein family (Hsp40) member C6
DNM1	hsa:1759	dynamin 1
DNM1L	hsa:10059	dynamin 1 like
DNMT3A	hsa:1788	DNA methyltransferase 3 alpha
DNMT3B	hsa:1789	DNA methyltransferase 3 beta
DOCK1	hsa:1793	dedicator of cytokinesis 1
DOCK4	hsa:9732	dedicator of cytokinesis 4
DOLK	hsa:22845	dolichol kinase
DPAGT1	hsa:1798	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1
DPM1	hsa:8813	dolichyl-phosphate mannosyltransferase subunit 1, catalytic
DPP4	hsa:1803	dipeptidyl peptidase 4
DPYD	hsa:1806	dihydropyrimidine dehydrogenase
DPYSL2	hsa:1808	dihydropyrimidinase like 2
DRD1	hsa:1812	dopamine receptor D1
DRD2	hsa:1813	dopamine receptor D2
DRD3	hsa:1814	dopamine receptor D3
DVL3	hsa:1857	dishevelled segment polarity protein 3
DYNC1H1	hsa:1778	dynein cytoplasmic 1 heavy chain 1
DYNC1I2	hsa:1781	dynein cytoplasmic 1 intermediate chain 2
DYNC1LI1	hsa:51143	dynein cytoplasmic 1 light intermediate chain 1
EARS2	hsa:124454	glutamyl-tRNA synthetase 2, mitochondrial
EBP	hsa:10682	EBP cholestenol delta-isomerase
ECHS1	hsa:1892	enoyl-CoA hydratase, short chain 1
EEF1A2	hsa:1917	eukaryotic translation elongation factor 1 alpha 2
EFL1	hsa:79631	elongation factor like GTPase 1
EFTUD2	hsa:9343	elongation factor Tu GTP binding domain containing 2
EGLN2	hsa:112398	egl-9 family hypoxia inducible factor 2
EGR3	hsa:1960	early growth response 3
EHMT1	hsa:79813	euchromatic histone lysine methyltransferase 1
EIF2AK2	hsa:5610	eukaryotic translation initiation factor 2 alpha kinase 2
EIF2AK3	hsa:9451	eukaryotic translation initiation factor 2 alpha kinase 3
EIF2B4	hsa:8890	eukaryotic translation initiation factor 2B subunit delta
EIF2B5	hsa:8893	eukaryotic translation initiation factor 2B subunit epsilon
EIF4A3	hsa:9775	eukaryotic translation initiation factor 4A3
EIF4E	hsa:1977	eukaryotic translation initiation factor 4E
EIF4G1	hsa:1981	eukaryotic translation initiation factor 4 gamma 1
ELOVL2	hsa:54898	ELOVL fatty acid elongase 2
ELOVL4	hsa:6785	ELOVL fatty acid elongase 4
EMG1	hsa:10436	EMG1 N1-specific pseudouridine methyltransferase
ENO3	hsa:2027	enolase 3
ENPP1	hsa:5167	ectonucleotide pyrophosphatase/phosphodiesterase 1
ENTPD1	hsa:953	ectonucleoside triphosphate diphosphohydrolase 1
EP300	hsa:2033	E1A binding protein p300
EPHB2	hsa:2048	EPH receptor B2
EPRS1	hsa:2058	glutamyl-prolyl-tRNA synthetase 1
EPS15L1	hsa:58513	epidermal growth factor receptor pathway substrate 15 like 1
ERBIN	hsa:55914	erbb2 interacting protein
ERCC1	hsa:2067	ERCC excision repair 1, endonuclease non-catalytic subunit
ERCC2	hsa:2068	ERCC excision repair 2, TFIIH core complex helicase subunit
ERCC3	hsa:2071	ERCC excision repair 3, TFIIH core complex helicase subunit
ERCC4	hsa:2072	ERCC excision repair 4, endonuclease catalytic subunit
ERCC5	hsa:2073	ERCC excision repair 5, endonuclease
ERCC6	hsa:2074	ERCC excision repair 6, chromatin remodeling factor
ERCC8	hsa:1161	ERCC excision repair 8, CSA ubiquitin ligase complex subunit
ERG	hsa:2078	ETS transcription factor ERG
ESR2	hsa:2100	estrogen receptor 2
ESRRB	hsa:2103	estrogen related receptor beta
ETHE1	hsa:23474	ETHE1 persulfide dioxygenase
EXOC5	hsa:10640	exocyst complex component 5
EXOSC2	hsa:23404	exosome component 2
EXOSC3	hsa:51010	exosome component 3
EXOSC8	hsa:11340	exosome component 8
EXOSC9	hsa:5393	exosome component 9
EXT1	hsa:2131	exostosin glycosyltransferase 1
EXT2	hsa:2132	exostosin glycosyltransferase 2
EXTL3	hsa:2137	exostosin like glycosyltransferase 3
EYA1	hsa:2138	EYA transcriptional coactivator and phosphatase 1
EZH2	hsa:2146	enhancer of zeste 2 polycomb repressive complex 2 subunit
FABP4	hsa:2167	fatty acid binding protein 4
FABP5	hsa:2171	fatty acid binding protein 5
FADS2	hsa:9415	fatty acid desaturase 2
FAH	hsa:2184	fumarylacetoacetate hydrolase
FAN1	hsa:22909	FANCD2 and FANCI associated nuclease 1
FANCA	hsa:2175	FA complementation group A
FANCD2	hsa:2177	FA complementation group D2
FAR1	hsa:84188	fatty acyl-CoA reductase 1
FARS2	hsa:10667	phenylalanyl-tRNA synthetase 2, mitochondrial
FASN	hsa:2194	fatty acid synthase
FAT4	hsa:79633	FAT atypical cadherin 4
FBN1	hsa:2200	fibrillin 1
FBXL3	hsa:26224	F-box and leucine rich repeat protein 3
FBXW11	hsa:23291	F-box and WD repeat domain containing 11
FCSK	hsa:197258	fucose kinase
FDFT1	hsa:2222	farnesyl-diphosphate farnesyltransferase 1
FEV	hsa:54738	FEV transcription factor, ETS family member
FGA	hsa:2243	fibrinogen alpha chain
FGD1	hsa:2245	FYVE, RhoGEF and PH domain containing 1
FGF14	hsa:2259	fibroblast growth factor 14
FGFR1	hsa:2260	fibroblast growth factor receptor 1
FGFR2	hsa:2263	fibroblast growth factor receptor 2
FGFR3	hsa:2261	fibroblast growth factor receptor 3
FH	hsa:2271	fumarate hydratase
FHIT	hsa:2272	fragile histidine triad diadenosine triphosphatase
FIG4	hsa:9896	FIG4 phosphoinositide 5-phosphatase
FKRP	hsa:79147	fukutin related protein
FKTN	hsa:2218	fukutin
FLAD1	hsa:80308	flavin adenine dinucleotide synthetase 1
FLNA	hsa:2316	filamin A
FLNC	hsa:2318	filamin C
FOLR1	hsa:2348	folate receptor alpha
FOSL2	hsa:2355	FOS like 2, AP-1 transcription factor subunit
FOXG1	hsa:2290	forkhead box G1
FOXP1	hsa:27086	forkhead box P1
FOXP3	hsa:50943	forkhead box P3
FRAS1	hsa:80144	Fraser extracellular matrix complex subunit 1
FREM1	hsa:158326	FRAS1 related extracellular matrix 1
FREM2	hsa:341640	FRAS1 related extracellular matrix 2
FTCD	hsa:10841	formimidoyltransferase cyclodeaminase
FUCA1	hsa:2517	alpha-L-fucosidase 1
FUT8	hsa:2530	fucosyltransferase 8
FXN	hsa:2395	frataxin
FZR1	hsa:51343	fizzy and cell division cycle 20 related 1
GAB2	hsa:9846	GRB2 associated binding protein 2
GABBR2	hsa:9568	gamma-aminobutyric acid type B receptor subunit 2
GABRA1	hsa:2554	gamma-aminobutyric acid type A receptor subunit alpha1
GABRA2	hsa:2555	gamma-aminobutyric acid type A receptor subunit alpha2
GABRA3	hsa:2556	gamma-aminobutyric acid type A receptor subunit alpha3
GABRA4	hsa:2557	gamma-aminobutyric acid type A receptor subunit alpha4
GABRA5	hsa:2558	gamma-aminobutyric acid type A receptor subunit alpha5
GABRB1	hsa:2560	gamma-aminobutyric acid type A receptor subunit beta1
GABRB2	hsa:2561	gamma-aminobutyric acid type A receptor subunit beta2
GABRB3	hsa:2562	gamma-aminobutyric acid type A receptor subunit beta3
GABRG2	hsa:2566	gamma-aminobutyric acid type A receptor subunit gamma2
GABRG3	hsa:2567	gamma-aminobutyric acid type A receptor subunit gamma3
GAD1	hsa:2571	glutamate decarboxylase 1
GALC	hsa:2581	galactosylceramidase
GALE	hsa:2582	UDP-galactose-4-epimerase
GALNS	hsa:2588	galactosamine (N-acetyl)-6-sulfatase
GALNT10	hsa:55568	polypeptide N-acetylgalactosaminyltransferase 10
GALNT13	hsa:114805	polypeptide N-acetylgalactosaminyltransferase 13
GALNT14	hsa:79623	polypeptide N-acetylgalactosaminyltransferase 14
GALNT2	hsa:2590	polypeptide N-acetylgalactosaminyltransferase 2
GALNT8	hsa:26290	polypeptide N-acetylgalactosaminyltransferase 8
GALR3	hsa:8484	galanin receptor 3
GALT	hsa:2592	galactose-1-phosphate uridylyltransferase
GAMT	hsa:2593	guanidinoacetate N-methyltransferase
GATM	hsa:2628	glycine amidinotransferase
GBA2	hsa:57704	glucosylceramidase beta 2
GBE1	hsa:2632	1,4-alpha-glucan branching enzyme 1
GCDH	hsa:2639	glutaryl-CoA dehydrogenase
GCH1	hsa:2643	GTP cyclohydrolase 1
GCSH	hsa:2653	glycine cleavage system protein H
GDA	hsa:9615	guanine deaminase
GDF1	hsa:2657	growth differentiation factor 1
GFAP	hsa:2670	glial fibrillary acidic protein
GK	hsa:2710	glycerol kinase
GLB1	hsa:2720	galactosidase beta 1
GLDC	hsa:2731	glycine decarboxylase
GLG1	hsa:2734	golgi glycoprotein 1
GLI2	hsa:2736	GLI family zinc finger 2
GLI3	hsa:2737	GLI family zinc finger 3
GLO1	hsa:2739	glyoxalase I
GLRA2	hsa:2742	glycine receptor alpha 2
GLS	hsa:2744	glutaminase
GLUL	hsa:2752	glutamate-ammonia ligase
GM2A	hsa:2760	GM2 ganglioside activator
