ACADM	hsa:34	acyl-CoA dehydrogenase medium chain
CHD4	hsa:1108	chromodomain helicase DNA binding protein 4
CHRM1	hsa:1128	cholinergic receptor muscarinic 1
CHRM3	hsa:1131	cholinergic receptor muscarinic 3
CHRNA4	hsa:1137	cholinergic receptor nicotinic alpha 4 subunit
CHRNA7	hsa:1139	cholinergic receptor nicotinic alpha 7 subunit
COPA	hsa:1314	COPI coat complex subunit alpha
COPB2	hsa:9276	COPI coat complex subunit beta 2
COX1	hsa:4512	cytochrome c oxidase subunit I
COX2	hsa:4513	cytochrome c oxidase subunit II
COX3	hsa:4514	cytochrome c oxidase subunit III
COX6B1	hsa:1340	cytochrome c oxidase subunit 6B1
CPS1	hsa:1373	carbamoyl-phosphate synthase 1
CPT2	hsa:1376	carnitine palmitoyltransferase 2
CREBBP	hsa:1387	CREB binding protein
CRPPA	hsa:729920	CDP-L-ribitol pyrophosphorylase A
CSF1R	hsa:1436	colony stimulating factor 1 receptor
CSNK2A1	hsa:1457	casein kinase 2 alpha 1
CSNK2B	hsa:1460	casein kinase 2 beta
CTNNB1	hsa:1499	catenin beta 1
CTSD	hsa:1509	cathepsin D
CUL2	hsa:8453	cullin 2
CUL4B	hsa:8450	cullin 4B
CX3CR1	hsa:1524	C-X3-C motif chemokine receptor 1
CYC1	hsa:1537	cytochrome c1
CYFIP1	hsa:23191	cytoplasmic FMR1 interacting protein 1
CYFIP2	hsa:26999	cytoplasmic FMR1 interacting protein 2
CYP11B1	hsa:1584	cytochrome P450 family 11 subfamily B member 1
CYP27A1	hsa:1593	cytochrome P450 family 27 subfamily A member 1
DBT	hsa:1629	dihydrolipoamide branched chain transacylase E2
DCC	hsa:1630	DCC netrin 1 receptor
DCTN2	hsa:10540	dynactin subunit 2
DDOST	hsa:1650	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
DDX3X	hsa:1654	DEAD-box helicase 3 X-linked
DHDDS	hsa:79947	dehydrodolichyl diphosphate synthase subunit
DLD	hsa:1738	dihydrolipoamide dehydrogenase
DLG1	hsa:1739	discs large MAGUK scaffold protein 1
DLG4	hsa:1742	discs large MAGUK scaffold protein 4
DLL1	hsa:28514	delta like canonical Notch ligand 1
DNAH10	hsa:196385	dynein axonemal heavy chain 10
DNAH17	hsa:8632	dynein axonemal heavy chain 17
DNAH3	hsa:55567	dynein axonemal heavy chain 3
DOCK1	hsa:1793	dedicator of cytokinesis 1
DOLK	hsa:22845	dolichol kinase
DPAGT1	hsa:1798	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1
DPM1	hsa:8813	dolichyl-phosphate mannosyltransferase subunit 1, catalytic
DRD1	hsa:1812	dopamine receptor D1
DVL3	hsa:1857	dishevelled segment polarity protein 3
DYNC1H1	hsa:1778	dynein cytoplasmic 1 heavy chain 1
DYNC1I2	hsa:1781	dynein cytoplasmic 1 intermediate chain 2
DYNC1LI1	hsa:51143	dynein cytoplasmic 1 light intermediate chain 1
ECHS1	hsa:1892	enoyl-CoA hydratase, short chain 1
EGR3	hsa:1960	early growth response 3
EIF2AK2	hsa:5610	eukaryotic translation initiation factor 2 alpha kinase 2
EIF2AK3	hsa:9451	eukaryotic translation initiation factor 2 alpha kinase 3
EIF2B4	hsa:8890	eukaryotic translation initiation factor 2B subunit delta
EIF2B5	hsa:8893	eukaryotic translation initiation factor 2B subunit epsilon
ENO3	hsa:2027	enolase 3
EP300	hsa:2033	E1A binding protein p300
ERG	hsa:2078	ETS transcription factor ERG
ESR2	hsa:2100	estrogen receptor 2
EYA1	hsa:2138	EYA transcriptional coactivator and phosphatase 1
FAH	hsa:2184	fumarylacetoacetate hydrolase
FBXW11	hsa:23291	F-box and WD repeat domain containing 11
FGA	hsa:2243	fibrinogen alpha chain
FGFR1	hsa:2260	fibroblast growth factor receptor 1
FGFR2	hsa:2263	fibroblast growth factor receptor 2
FGFR3	hsa:2261	fibroblast growth factor receptor 3
FKRP	hsa:79147	fukutin related protein
FKTN	hsa:2218	fukutin
FUT8	hsa:2530	fucosyltransferase 8
GALC	hsa:2581	galactosylceramidase
GALE	hsa:2582	UDP-galactose-4-epimerase
GALNS	hsa:2588	galactosamine (N-acetyl)-6-sulfatase
GALT	hsa:2592	galactose-1-phosphate uridylyltransferase
GBA2	hsa:57704	glucosylceramidase beta 2
GBE1	hsa:2632	1,4-alpha-glucan branching enzyme 1
GCH1	hsa:2643	GTP cyclohydrolase 1
GLB1	hsa:2720	galactosidase beta 1
GLI2	hsa:2736	GLI family zinc finger 2
GLI3	hsa:2737	GLI family zinc finger 3
GMPPA	hsa:29926	GDP-mannose pyrophosphorylase A
GMPPB	hsa:29925	GDP-mannose pyrophosphorylase B
GNAI1	hsa:2770	G protein subunit alpha i1
GNAO1	hsa:2775	G protein subunit alpha o1
GNAQ	hsa:2776	G protein subunit alpha q
GNAS	hsa:2778	GNAS complex locus
GNB1	hsa:2782	G protein subunit beta 1
GNB5	hsa:10681	G protein subunit beta 5
GNG13	hsa:51764	G protein subunit gamma 13
GNS	hsa:2799	glucosamine (N-acetyl)-6-sulfatase
GPAA1	hsa:8733	glycosylphosphatidylinositol anchor attachment 1
GPHN	hsa:10243	gephyrin
GPR37	hsa:2861	G protein-coupled receptor 37
GPX1	hsa:2876	glutathione peroxidase 1
GRIA3	hsa:2892	glutamate ionotropic receptor AMPA type subunit 3
GRIN1	hsa:2902	glutamate ionotropic receptor NMDA type subunit 1
GRIN2A	hsa:2903	glutamate ionotropic receptor NMDA type subunit 2A
GRIN2B	hsa:2904	glutamate ionotropic receptor NMDA type subunit 2B
GRIN2D	hsa:2906	glutamate ionotropic receptor NMDA type subunit 2D
GRM1	hsa:2911	glutamate metabotropic receptor 1
GRM5	hsa:2915	glutamate metabotropic receptor 5
GSS	hsa:2937	glutathione synthetase
GSTM1	hsa:2944	glutathione S-transferase mu 1
GUSB	hsa:2990	glucuronidase beta
H3-3A	hsa:3020	H3.3 histone A
HADH	hsa:3033	hydroxyacyl-CoA dehydrogenase
HADHA	hsa:3030	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha
HCFC1	hsa:3054	host cell factor C1
HEXA	hsa:3073	hexosaminidase subunit alpha
HEXB	hsa:3074	hexosaminidase subunit beta
HEY1	hsa:23462	hes related family bHLH transcription factor with YRPW motif 1
HGSNAT	hsa:138050	heparan-alpha-glucosaminide N-acetyltransferase
HIBCH	hsa:26275	3-hydroxyisobutyryl-CoA hydrolase
HK1	hsa:3098	hexokinase 1
HLA-A	hsa:3105	major histocompatibility complex, class I, A
HLA-B	hsa:3106	major histocompatibility complex, class I, B
HLA-DPB1	hsa:3115	major histocompatibility complex, class II, DP beta 1
HLA-DRB1	hsa:3123	major histocompatibility complex, class II, DR beta 1
HLA-G	hsa:3135	major histocompatibility complex, class I, G
HMGCL	hsa:3155	3-hydroxy-3-methylglutaryl-CoA lyase
HPD	hsa:3242	4-hydroxyphenylpyruvate dioxygenase
HRAS	hsa:3265	HRas proto-oncogene, GTPase
HSD11B1	hsa:3290	hydroxysteroid 11-beta dehydrogenase 1
HSD17B10	hsa:3028	hydroxysteroid 17-beta dehydrogenase 10
HSD17B4	hsa:3295	hydroxysteroid 17-beta dehydrogenase 4
HTRA2	hsa:27429	HtrA serine peptidase 2
HTT	hsa:3064	huntingtin
IDH2	hsa:3418	isocitrate dehydrogenase (NADP(+)) 2
IDS	hsa:3423	iduronate 2-sulfatase
IDUA	hsa:3425	alpha-L-iduronidase
IFIH1	hsa:64135	interferon induced with helicase C domain 1
IGF1	hsa:3479	insulin like growth factor 1
IGF1R	hsa:3480	insulin like growth factor 1 receptor
IKBKG	hsa:8517	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
IL1R2	hsa:7850	interleukin 1 receptor type 2
ITGAV	hsa:3685	integrin subunit alpha V
ITGB3	hsa:3690	integrin subunit beta 3
ITPR1	hsa:3708	inositol 1,4,5-trisphosphate receptor type 1
IVD	hsa:3712	isovaleryl-CoA dehydrogenase
JMJD1C	hsa:221037	jumonji domain containing 1C
KAT5	hsa:10524	lysine acetyltransferase 5
KCNC1	hsa:3746	potassium voltage-gated channel subfamily C member 1
KCND2	hsa:3751	potassium voltage-gated channel subfamily D member 2
KCND3	hsa:3752	potassium voltage-gated channel subfamily D member 3
KDM6A	hsa:7403	lysine demethylase 6A
KIF5A	hsa:3798	kinesin family member 5A
KIF5C	hsa:3800	kinesin family member 5C
KMT2A	hsa:4297	lysine methyltransferase 2A
KRAS	hsa:3845	KRAS proto-oncogene, GTPase
LARGE1	hsa:9215	LARGE xylosyl- and glucuronyltransferase 1
LDB1	hsa:8861	LIM domain binding 1
MAF	hsa:4094	MAF bZIP transcription factor
MAML3	hsa:55534	mastermind like transcriptional coactivator 3
MAN1B1	hsa:11253	mannosidase alpha class 1B member 1
MAOA	hsa:4128	monoamine oxidase A
MAOB	hsa:4129	monoamine oxidase B
MAP2K1	hsa:5604	mitogen-activated protein kinase kinase 1
MAP2K2	hsa:5605	mitogen-activated protein kinase kinase 2
MAP3K10	hsa:4294	mitogen-activated protein kinase kinase kinase 10
MAP3K5	hsa:4217	mitogen-activated protein kinase kinase kinase 5
MAP3K7	hsa:6885	mitogen-activated protein kinase kinase kinase 7
MAPK1	hsa:5594	mitogen-activated protein kinase 1
MAPK3	hsa:5595	mitogen-activated protein kinase 3
MAPT	hsa:4137	microtubule associated protein tau
MASP1	hsa:5648	MBL associated serine protease 1
MCCC1	hsa:56922	methylcrotonyl-CoA carboxylase subunit 1
MCCC2	hsa:64087	methylcrotonyl-CoA carboxylase subunit 2
MEF2C	hsa:4208	myocyte enhancer factor 2C
MET	hsa:4233	MET proto-oncogene, receptor tyrosine kinase
MGAT2	hsa:4247	alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase
MMUT	hsa:4594	methylmalonyl-CoA mutase
MOCS1	hsa:4337	molybdenum cofactor synthesis 1
MOCS2	hsa:4338	molybdenum cofactor synthesis 2
MOGS	hsa:7841	mannosyl-oligosaccharide glucosidase
MPI	hsa:4351	mannose phosphate isomerase
MTOR	hsa:2475	mechanistic target of rapamycin kinase
MYC	hsa:4609	MYC proto-oncogene, bHLH transcription factor
MYCN	hsa:4613	MYCN proto-oncogene, bHLH transcription factor
NAGLU	hsa:4669	N-acetyl-alpha-glucosaminidase
NCKAP1	hsa:10787	NCK associated protein 1
NCOA1	hsa:8648	nuclear receptor coactivator 1
NCOA2	hsa:10499	nuclear receptor coactivator 2
NCOR1	hsa:9611	nuclear receptor corepressor 1
ND5	hsa:4540	NADH dehydrogenase subunit 5
NDUFA1	hsa:4694	NADH:ubiquinone oxidoreductase subunit A1
NDUFA11	hsa:126328	NADH:ubiquinone oxidoreductase subunit A11
NDUFA5	hsa:4698	NADH:ubiquinone oxidoreductase subunit A5
NDUFA6	hsa:4700	NADH:ubiquinone oxidoreductase subunit A6
NDUFB8	hsa:4714	NADH:ubiquinone oxidoreductase subunit B8
NDUFS1	hsa:4719	NADH:ubiquinone oxidoreductase core subunit S1
NDUFS2	hsa:4720	NADH:ubiquinone oxidoreductase core subunit S2
NDUFS3	hsa:4722	NADH:ubiquinone oxidoreductase core subunit S3
NDUFS4	hsa:4724	NADH:ubiquinone oxidoreductase subunit S4
NDUFS7	hsa:374291	NADH:ubiquinone oxidoreductase core subunit S7
NDUFS8	hsa:4728	NADH:ubiquinone oxidoreductase core subunit S8
NDUFV1	hsa:4723	NADH:ubiquinone oxidoreductase core subunit V1
NFATC3	hsa:4775	nuclear factor of activated T cells 3
NLRP3	hsa:114548	NLR family pyrin domain containing 3
NRAS	hsa:4893	NRAS proto-oncogene, GTPase
NRG2	hsa:9542	neuregulin 2
NSD2	hsa:7468	nuclear receptor binding SET domain protein 2
NTRK1	hsa:4914	neurotrophic receptor tyrosine kinase 1
NUP107	hsa:57122	nucleoporin 107
NUP133	hsa:55746	nucleoporin 133
NUP155	hsa:9631	nucleoporin 155
NUP188	hsa:23511	nucleoporin 188
NUP214	hsa:8021	nucleoporin 214
NUP37	hsa:79023	nucleoporin 37
NUS1	hsa:116150	NUS1 dehydrodolichyl diphosphate synthase subunit
NXF1	hsa:10482	nuclear RNA export factor 1
OCLN	hsa:100506658	occludin
OTC	hsa:5009	ornithine transcarbamylase
PAH	hsa:5053	phenylalanine hydroxylase
PAK1	hsa:5058	p21 (RAC1) activated kinase 1
PATJ	hsa:10207	PATJ crumbs cell polarity complex component
PAX8	hsa:7849	paired box 8
PBX1	hsa:5087	PBX homeobox 1
PCBD1	hsa:5092	pterin-4 alpha-carbinolamine dehydratase 1
PCCA	hsa:5095	propionyl-CoA carboxylase subunit alpha
PCCB	hsa:5096	propionyl-CoA carboxylase subunit beta
PDGFRB	hsa:5159	platelet derived growth factor receptor beta
PER2	hsa:8864	period circadian regulator 2
PGAP1	hsa:80055	post-GPI attachment to proteins inositol deacylase 1
PGK1	hsa:5230	phosphoglycerate kinase 1
PIGA	hsa:5277	phosphatidylinositol glycan anchor biosynthesis class A
PIGB	hsa:9488	phosphatidylinositol glycan anchor biosynthesis class B
PIGC	hsa:5279	phosphatidylinositol glycan anchor biosynthesis class C
PIGG	hsa:54872	phosphatidylinositol glycan anchor biosynthesis class G
PIGH	hsa:5283	phosphatidylinositol glycan anchor biosynthesis class H
PIGK	hsa:10026	phosphatidylinositol glycan anchor biosynthesis class K
PIGL	hsa:9487	phosphatidylinositol glycan anchor biosynthesis class L
PIGN	hsa:23556	phosphatidylinositol glycan anchor biosynthesis class N
PIGO	hsa:84720	phosphatidylinositol glycan anchor biosynthesis class O
PIGP	hsa:51227	phosphatidylinositol glycan anchor biosynthesis class P
PIGQ	hsa:9091	phosphatidylinositol glycan anchor biosynthesis class Q
PIGS	hsa:94005	phosphatidylinositol glycan anchor biosynthesis class S
PIGT	hsa:51604	phosphatidylinositol glycan anchor biosynthesis class T
PIGU	hsa:128869	phosphatidylinositol glycan anchor biosynthesis class U
PIGV	hsa:55650	phosphatidylinositol glycan anchor biosynthesis class V
PIGW	hsa:284098	phosphatidylinositol glycan anchor biosynthesis class W
PIGY	hsa:84992	phosphatidylinositol glycan anchor biosynthesis class Y
PIK3CA	hsa:5290	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
PIK3CD	hsa:5293	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
PIK3CG	hsa:5294	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma
PKN2	hsa:5586	protein kinase N2
PLCB1	hsa:23236	phospholipase C beta 1
PLCG2	hsa:5336	phospholipase C gamma 2
PLN	hsa:5350	phospholamban
PMM2	hsa:5373	phosphomannomutase 2
POMGNT1	hsa:55624	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)
POMGNT2	hsa:84892	protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)
POMK	hsa:84197	protein O-mannose kinase
POMT1	hsa:10585	protein O-mannosyltransferase 1
POMT2	hsa:29954	protein O-mannosyltransferase 2
PPP1CB	hsa:5500	protein phosphatase 1 catalytic subunit beta
PPP2CA	hsa:5515	protein phosphatase 2 catalytic subunit alpha
PPP2R1A	hsa:5518	protein phosphatase 2 scaffold subunit Aalpha
PPP2R1B	hsa:5519	protein phosphatase 2 scaffold subunit Abeta
PPP2R5D	hsa:5528	protein phosphatase 2 regulatory subunit B'delta
PPP3CA	hsa:5530	protein phosphatase 3 catalytic subunit alpha
PPP3CB	hsa:5532	protein phosphatase 3 catalytic subunit beta
PREX1	hsa:57580	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1
PRKACB	hsa:5567	protein kinase cAMP-activated catalytic subunit beta
PRKCA	hsa:5578	protein kinase C alpha
PRKCB	hsa:5579	protein kinase C beta
PRKCG	hsa:5582	protein kinase C gamma
PRKD1	hsa:5587	protein kinase D1
PRKD2	hsa:25865	protein kinase D2
PRKD3	hsa:23683	protein kinase D3
PRKN	hsa:5071	parkin RBR E3 ubiquitin protein ligase
PSAP	hsa:5660	prosaposin
PSMD12	hsa:5718	proteasome 26S subunit, non-ATPase 12
PTCH1	hsa:5727	patched 1
PTEN	hsa:5728	phosphatase and tensin homolog
PTGS2	hsa:5743	prostaglandin-endoperoxide synthase 2
PTPN11	hsa:5781	protein tyrosine phosphatase non-receptor type 11
PTS	hsa:5805	6-pyruvoyltetrahydropterin synthase
QDPR	hsa:5860	quinoid dihydropteridine reductase
RAC1	hsa:5879	Rac family small GTPase 1
RAC3	hsa:5881	Rac family small GTPase 3
RAE1	hsa:8480	ribonucleic acid export 1
RAF1	hsa:5894	Raf-1 proto-oncogene, serine/threonine kinase
RALA	hsa:5898	RAS like proto-oncogene A
RASSF5	hsa:83593	Ras association domain family member 5
RBL2	hsa:5934	RB transcriptional corepressor like 2
RBPJ	hsa:3516	recombination signal binding protein for immunoglobulin kappa J region
RELN	hsa:5649	reelin
REST	hsa:5978	RE1 silencing transcription factor
RFT1	hsa:91869	RFT1 homolog
RHEB	hsa:6009	Ras homolog, mTORC1 binding
RORA	hsa:6095	RAR related orphan receptor A
RPL10	hsa:6134	ribosomal protein L10
RPL26	hsa:6154	ribosomal protein L26
RPL4	hsa:6124	ribosomal protein L4
RPS26	hsa:6231	ribosomal protein S26
RXYLT1	hsa:10329	ribitol xylosyltransferase 1
RYR2	hsa:6262	ryanodine receptor 2
SCP2	hsa:6342	sterol carrier protein 2
SDHA	hsa:6389	succinate dehydrogenase complex flavoprotein subunit A
SGSH	hsa:6448	N-sulfoglucosamine sulfohydrolase
SHH	hsa:6469	sonic hedgehog signaling molecule
SIN3A	hsa:25942	SIN3 transcription regulator family member A
SLC16A2	hsa:6567	solute carrier family 16 member 2
SLC18A2	hsa:6571	solute carrier family 18 member A2
SLC22A5	hsa:6584	solute carrier family 22 member 5
SLC25A20	hsa:788	solute carrier family 25 member 20
SLC2A1	hsa:6513	solute carrier family 2 member 1
SLC35A2	hsa:7355	solute carrier family 35 member A2
SLC35C1	hsa:55343	solute carrier family 35 member C1
SMAD4	hsa:4089	SMAD family member 4
SMO	hsa:6608	smoothened, frizzled class receptor
SMPD1	hsa:6609	sphingomyelin phosphodiesterase 1
SMPD4	hsa:55627	sphingomyelin phosphodiesterase 4
SOD1	hsa:6647	superoxide dismutase 1
SOS1	hsa:6654	SOS Ras/Rac guanine nucleotide exchange factor 1
SOS2	hsa:6655	SOS Ras/Rho guanine nucleotide exchange factor 2
SPR	hsa:6697	sepiapterin reductase
SPTBN2	hsa:6712	spectrin beta, non-erythrocytic 2
SRD5A3	hsa:79644	steroid 5 alpha-reductase 3
SRSF1	hsa:6426	serine and arginine rich splicing factor 1
STT3A	hsa:3703	STT3 oligosaccharyltransferase complex catalytic subunit A
STT3B	hsa:201595	STT3 oligosaccharyltransferase complex catalytic subunit B
STX1A	hsa:6804	syntaxin 1A
SUFU	hsa:51684	SUFU negative regulator of hedgehog signaling
TAB2	hsa:23118	TGF-beta activated kinase 1 (MAP3K7) binding protein 2
TAT	hsa:6898	tyrosine aminotransferase
TCF7L2	hsa:6934	transcription factor 7 like 2
TERT	hsa:7015	telomerase reverse transcriptase
TFE3	hsa:7030	transcription factor binding to IGHM enhancer 3
TH	hsa:7054	tyrosine hydroxylase
THRA	hsa:7067	thyroid hormone receptor alpha
THRB	hsa:7068	thyroid hormone receptor beta
TLN1	hsa:7094	talin 1
TPO	hsa:7173	thyroid peroxidase
TRAPPC4	hsa:51399	trafficking protein particle complex subunit 4
TRAPPC6B	hsa:122553	trafficking protein particle complex subunit 6B
TRRAP	hsa:8295	transformation/transcription domain associated protein
TSC1	hsa:7248	TSC complex subunit 1
TSC2	hsa:7249	TSC complex subunit 2
TSHB	hsa:7252	thyroid stimulating hormone subunit beta
TSPAN7	hsa:7102	tetraspanin 7
TUBA1A	hsa:7846	tubulin alpha 1a
TUBA8	hsa:51807	tubulin alpha 8
TUBB	hsa:203068	tubulin beta class I
TUBB2A	hsa:7280	tubulin beta 2A class IIa
TUBB2B	hsa:347733	tubulin beta 2B class IIb
TUBB3	hsa:10381	tubulin beta 3 class III
TUBB4A	hsa:10382	tubulin beta 4A class IVa
TUSC3	hsa:7991	tumor suppressor candidate 3
UBE3A	hsa:7337	ubiquitin protein ligase E3A
UGP2	hsa:7360	UDP-glucose pyrophosphorylase 2
USP7	hsa:7874	ubiquitin specific peptidase 7
VLDLR	hsa:7436	very low density lipoprotein receptor
VPS11	hsa:55823	VPS11 core subunit of CORVET and HOPS complexes
VPS16	hsa:64601	VPS16 core subunit of CORVET and HOPS complexes
VSIG4	hsa:11326	V-set and immunoglobulin domain containing 4
WASF1	hsa:8936	WASP family member 1
WNT1	hsa:7471	Wnt family member 1
YWHAE	hsa:7531	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon
YWHAG	hsa:7532	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma
ZBTB16	hsa:7704	zinc finger and BTB domain containing 16
hsa:H3F3A	hsa:H3F3A	hsa:H3F3A
